total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-9.0
time                 rho_0                std                 
0.00279000          3999.42058351       1.22220333          
0.00282000          3999.40746158       1.23909852          
0.00285000          3999.39417325       1.25611566          
0.00288000          3999.38071767       1.27325613          
0.00291000          3999.36709395       1.29052135          
0.00294000          3999.35330122       1.30791272          
0.00297000          3999.33933857       1.32543166          
0.00300000          3999.32520510       1.34307959          
0.00303000          3999.31089989       1.36085791          
0.00306000          3999.29642202       1.37876807          
0.00309000          3999.28177054       1.39681150          
0.00312000          3999.26694449       1.41498964          
0.00315000          3999.25194292       1.43330393          
0.00318000          3999.23676486       1.45175581          
0.00321000          3999.22140931       1.47034675          
0.00324000          3999.20587528       1.48907820          
0.00327000          3999.19016176       1.50795163          
0.00330000          3999.17426774       1.52696851          
0.00333000          3999.15819217       1.54613033          
0.00336000          3999.14193401       1.56543858          
0.00339000          3999.12549221       1.58489472          
0.00342000          3999.10886570       1.60450028          
0.00345000          3999.09205341       1.62425675          
0.00348000          3999.07505423       1.64416564          
0.00351000          3999.05786707       1.66422848          
0.00354000          3999.04049080       1.68444678          
0.00357000          3999.02292431       1.70482207          
0.00360000          3999.00516645       1.72535591          
0.00363000          3998.98721607       1.74604983          
0.00366000          3998.96907199       1.76690538          
0.00369000          3998.95073306       1.78792414          
0.00372000          3998.93219806       1.80910766          
0.00375000          3998.91346581       1.83045753          
0.00378000          3998.89453509       1.85197532          
0.00381000          3998.87540466       1.87366264          
0.00384000          3998.85607328       1.89552109          
0.00387000          3998.83653970       1.91755226          
0.00390000          3998.81680266       1.93975779          
0.00393000          3998.79686086       1.96213929          
0.00396000          3998.77671303       1.98469840          
0.00399000          3998.75635784       2.00743676          
0.00402000          3998.73579398       2.03035604          
0.00405000          3998.71502011       2.05345788          
0.00408000          3998.69403489       2.07674396          
0.00411000          3998.67283695       2.10021596          
0.00414000          3998.65142493       2.12387557          
0.00417000          3998.62979742       2.14772449          
0.00420000          3998.60795302       2.17176443          
0.00423000          3998.58589033       2.19599710          
0.00426000          3998.56360791       2.22042424          
0.00429000          3998.54110430       2.24504758          
0.00432000          3998.51837806       2.26986887          
0.00435000          3998.49542771       2.29488988          
0.00438000          3998.47225175       2.32011237          
0.00441000          3998.44884870       2.34553812          
0.00444000          3998.42521702       2.37116892          
0.00447000          3998.40135518       2.39700658          
0.00450000          3998.37726165       2.42305291          
0.00453000          3998.35293485       2.44930973          
0.00456000          3998.32837321       2.47577889          
0.00459000          3998.30357513       2.50246222          
0.00462000          3998.27853901       2.52936159          
0.00465000          3998.25326323       2.55647886          
0.00468000          3998.22774614       2.58381592          
0.00471000          3998.20198609       2.61137467          
0.00474000          3998.17598141       2.63915701          
0.00477000          3998.14973041       2.66716486          
0.00480000          3998.12323140       2.69540016          
0.00483000          3998.09648266       2.72386484          
0.00486000          3998.06948245       2.75256086          
0.00489000          3998.04222901       2.78149020          
0.00492000          3998.01472060       2.81065484          
0.00495000          3997.98695541       2.84005677          
0.00498000          3997.95893166       2.86969800          
0.00501000          3997.93064753       2.89958056          
0.00504000          3997.90210118       2.92970648          
0.00507000          3997.87329076       2.96007781          
0.00510000          3997.84421442       2.99069662          
0.00513000          3997.81487025       3.02156499          
0.00516000          3997.78525637       3.05268500          
0.00519000          3997.75537085       3.08405877          
0.00522000          3997.72521176       3.11568843          
0.00525000          3997.69477715       3.14757609          
0.00528000          3997.66406504       3.17972391          
0.00531000          3997.63307344       3.21213408          
0.00534000          3997.60180035       3.24480875          
0.00537000          3997.57024374       3.27775013          
0.00540000          3997.53840157       3.31096043          
0.00543000          3997.50627178       3.34444188          
0.00546000          3997.47385228       3.37819673          
0.00549000          3997.44114098       3.41222722          
0.00552000          3997.40813575       3.44653565          
0.00555000          3997.37483447       3.48112429          
0.00558000          3997.34123497       3.51599546          
0.00561000          3997.30733509       3.55115148          
0.00564000          3997.27313262       3.58659469          
0.00567000          3997.23862535       3.62232746          
0.00570000          3997.20381106       3.65835216          
0.00573000          3997.16868748       3.69467117          
0.00576000          3997.13325234       3.73128692          
0.00579000          3997.09750336       3.76820182          
0.00582000          3997.06143821       3.80541832          
0.00585000          3997.02505456       3.84293890          
0.00588000          3996.98835007       3.88076601          
0.00591000          3996.95132235       3.91890218          
